100003281,La Vida Nueva,Orhan Pamuk/Rafael Carpintero,9,282,2006,9713,,8
100003282,Amarse con los ojos abiertos,Jorge Bucay/Silvia Salinas,9,237,2004,9713,229,9
100003283,El Superzorro,Roald Dahl/Horacio Elena,9,96,2000,9714,4,3
100003284,Digging to America,Anne Tyler,1,277,2006,9715,,9
100003285,The Theban Plays (Everyman's Library  #93),Sophocles/David Grene/Charles Segal,1,223,1994,9715,,8
100003286,The Sea,John Banville,1,195,2005,9715,,6
100003287,The Road,Cormac McCarthy,1,241,2006,9715,,5
100003288,Collected Stories,Roald Dahl/Jeremy Treglown,1,850,2006,9715,,21
100003289,James and the Giant Peach,Roald Dahl/Quentin Blake,1,146,2002,9715,,6
100003290,The Tale of Genji,Murasaki Shikibu/Edward G. Seidensticker,1,1090,1978,9715,872,42
100003291,The View from Castle Rock,Alice Munro,1,349,2006,9715,354,15
100003292,Blind Willow  Sleeping Woman,Haruki Murakami/Philip Gabriel/Jay Rubin,1,333,2006,9715,244,9
100003293,Jazz,Toni Morrison,1,229,1992,9715,604,9
100003294,Looking for the Light: The Hidden Life and Art of Marion Post Wolcott,Paul Hendrickson/Marion Post Wolcott,1,297,1992,9715,,7
100003295,Frost,Thomas Bernhard/Michael Hofmann,1,342,2006,9715,61,9
100003296,The Lay of the Land,Richard Ford,1,485,2006,9715,420,18
100003297,Nature Girl,Carl Hiaasen,1,306,2006,9715,139,7
100003298,Wildwood Dancing (Wildwood  #1),Juliet Marillier,1,407,2007,9715,678,12
100003299,Runaway,Alice Munro,1,335,2004,9715,,17
100003300,A Madman Dreams of Turing Machines,Janna Levin,1,230,2006,9715,48,10
100003301,House of Meetings,Martin Amis,1,241,2007,9715,,7
100003302,The Book Thief,Markus Zusak/Cao Xuân Việt Khương,1,552,2006,9715,515,15
100003303,Binary,John Lange,1,213,1972,9715,,10
100003304,Are We There Yet?,David Levithan,1,215,2005,9715,,8
100003305,Boy Meets Boy,David Levithan,1,185,2005,9715,287,8
100003306,The Sibley Field Guide to Birds of Western North America,David Allen Sibley,1,473,2003,9715,,19
100003307,Boeing Versus Airbus: The Inside Story of the Greatest International Competition in Business,John Newhouse,1,254,2007,9715,,7
100003308,Confessions of a French Baker: Breadmaking Secrets  Tips  and Recipes,Peter Mayle/Gerard Auzet,1,91,2005,9715,23,4
100003309,Theft: A Love Story,Peter Carey,1,269,2006,9715,106,13
100003310,The Devil's Feather,Minette Walters,1,349,2006,9715,,8
100003311,The Wind-Up Bird Chronicle,Haruki Murakami/Jay Rubin,1,611,1997,9715,894,17
100003312,After the Quake,Haruki Murakami/Jay Rubin,1,182,2002,9715,,6
100003313,Sputnik Sweetheart,Haruki Murakami/Philip Gabriel,1,210,2001,9715,,7
100003314,His Dark Materials (His Dark Materials  #1-3),Philip Pullman,1,933,2007,9715,,21
100003315,Gargantua and Pantagruel,François Rabelais/Thomas Urquhart/Pierre Le Motteux,1,807,1994,9716,,25
100003316,Wild About Books,Judy Sierra/Marc Brown,1,40,2004,9717,,3
100003317,Flush,Carl Hiaasen,1,263,2005,9717,,10
100003318,Nick & Norah's Infinite Playlist,Rachel Cohn/David Levithan,1,183,2006,9717,,6
100003319,The Subtle Knife (His Dark Materials  #2),Philip Pullman/Ian Beck,1,326,2007,9717,,13
100003320,The Amber Spyglass (His Dark Materials  #3),Philip Pullman/Ian Beck,1,518,2007,9717,931,11
100003321,I Am the Messenger,Markus Zusak/Emmanuel Pailler,1,357,2006,9718,,10
100003322,A Tear and a Smile,Kahlil Gibran/جبران خليل جبران/H.M. Nahmad/Robert Hillyer,1,228,1950,9719,,8
100003323,Hemingway & Bailey's Bartending Guide to Great American Writers,Mark Bailey/Edward Hemingway,1,97,2006,9720,848,5
100003324,The History of England,Jane Austen/Cassandra Austen/Deirdre Le Faye/A.S. Byatt,1,60,1993,9720,186,2
100003325,Last Bite,Nancy Verde Barr,1,308,2006,9720,949,7
100003326,Enslaved by Ducks,Bob Tarte,1,308,2004,9720,526,8
100003327,Water for Elephants,Sara Gruen,1,335,2007,9720,104,10
100003328,La caída,Albert Camus/Manuel de Lope,9,128,2005,9721,,3
100003329,Hello! Is That Grandma?,Ian Whybrow/Deborah Allwright,1,32,2007,9722,,2
100003330,The Tenth Circle,Jodi Picoult,1,416,2006,9723,,9
100003331,Argumentative Indian: Writings On Indian History Culture And Identity,Amartya Sen,1,391,2005,9724,185,12
100003332,The Origin of Consciousness in the Breakdown of the Bicameral Mind,Julian Jaynes,1,467,1979,9724,207,17
100003333,"Natural Cures ""They"" Don't Want You to Know about",Kevin Trudeau,1,571,2004,9725,,18
100003334,Beauty and the Contemporary Sublime,Jeremy Gilbert-Rolfe,1,180,1999,9726,454,5
100003335,The Actor in You: Sixteen Simple Steps to Understanding the Art of Acting,Robert Benedetti,1,131,2002,9727,,7
100003336,The Actor in You: Sixteen Simple Steps to Understanding the Art of Acting,Robert Benedetti,1,160,2005,9727,184,7
100003337,Infants  Children  and Adolescents (MyDevelopmentLab Series),Laura E. Berk,1,784,2004,9727,572,29
100003338,The Complete Idiot's Guide to Calculus,W. Michael Kelley,1,352,2006,9728,158,18
100003339,Complete Idiot's Guide to The Beatles,Richard Buskin/Allan Kozinn,1,384,1997,9728,842,8
100003340,The Complete Idiot's Guide to Business Plans,Gwen Moran,1,314,2005,9729,,8
100003341,Hood,Emma Donoghue,1,309,1998,9730,350,9
100003342,Stir-Fry,Emma Donoghue,1,240,2006,9730,42,8
100003343,The John Adams Reader: Eseential Writings on an American Composer,Thomas May/John   Adams,1,455,2006,9731,180,19
100003344,The Epic of Gilgamesh,Anonymous/N.K. Sandars,1,127,1976,9732,,4
100003345,The Great Gatsby,F. Scott Fitzgerald,1,182,1925,9733,,7
100003346,Diabetes Meal Planning Made Easy,Hope S. Warshaw/Warshaw Hope,1,301,2006,9734,,7
100003347,Teacher's Pet (Wild at Heart  #7),Laurie Halse Anderson,1,128,2001,9735,131,4
100003348,Homeless (Wild at Heart  #2),Laurie Halse Anderson/Mark Salisbury,1,126,2000,9735,,5
100003349,The Feelings Book: The Care & Keeping of Your Emotions,Lynda Madison/Bonnie Timmons/Norm Bendell,1,104,2002,9735,169,4
100003350,A Smart Girl's Guide to Money: How to Make It  Save It  And Spend It,Nancy Holyoke/Ali Douglass,1,95,2006,9735,576,4
100003351,What Would You Do? (American Girl Library),Patti Kelley Criswell/Norm Bendell,1,63,2004,9735,,2
100003352,The Best of America's Test Kitchen 2007: The Year's Best Recipes  Equipment Reviews  and Tastings,America's Test Kitchen,1,312,2006,9736,,7
